,bedroom,parking_lot,bathroom,toilets,town,state,serviced,extras,Stable Electricity,title,price
171,2.0,1,2.0,3,Lekki,Lagos,1,8.0,1,Blocks Of Flats,120000000.0
172,3.0,0,3.0,4,Ikoyi,Lagos,0,0.0,0,Blocks Of Flats,40000000.0
173,5.0,0,5.0,6,Lekki,Lagos,0,11.0,0,Semi Detached Duplex,25000000.0
176,5.0,0,5.0,6,Lekki,Lagos,0,11.0,0,Detached Duplex,12000000.0
177,4.0,0,4.0,5,Lekki,Lagos,0,11.0,0,Massionette,25000000.0
178,4.0,0,4.0,5,Lekki,Lagos,0,0.0,0,Terraced Duplex,11000000.0
179,4.0,0,4.0,5,Ajah,Lagos,0,11.0,0,Semi Detached Duplex,7000000.0
180,4.0,0,4.0,5,Lekki,Lagos,0,0.0,0,Terraced Duplex,11000000.0
181,4.0,0,4.0,5,Ajah,Lagos,0,11.0,0,Semi Detached Duplex,7000000.0
182,2.0,1,2.0,3,Lekki,Lagos,1,8.0,1,Blocks Of Flats,5000000.0
183,3.0,1,3.0,4,Ikoyi,Lagos,0,8.0,1,Blocks Of Flats,50000000.0
184,4.0,0,4.0,5,Lekki,Lagos,0,15.0,0,Semi Detached Duplex,20000000.0
185,4.0,0,4.0,5,Lekki,Lagos,0,0.0,0,Detached Duplex,10000000.0
186,4.0,0,4.0,5,Lekki,Lagos,0,0.0,0,Terraced Duplex,6500000.0
188,4.0,0,4.0,5,Lekki,Lagos,0,12.0,0,Semi Detached Duplex,20000000.0
189,4.0,0,4.0,5,Ikoyi,Lagos,0,0.0,0,Terraced Duplex,30000000.0
190,3.0,0,3.0,4,Lekki,Lagos,1,11.0,0,Blocks Of Flats,13000000.0
191,4.0,0,4.0,5,Lekki,Lagos,0,11.0,0,Semi Detached Duplex,10000000.0
192,3.0,0,3.0,4,Lekki,Lagos,0,0.0,0,Blocks Of Flats,12000000.0
193,4.0,0,4.0,5,Lekki,Lagos,1,0.0,0,Terraced Duplex,18000000.0
194,4.0,1,4.0,5,Ikoyi,Lagos,0,8.0,0,Detached Duplex,150000000.0
195,5.0,1,5.0,6,Ikoyi,Lagos,0,8.0,1,Detached Duplex,250000000.0
196,4.0,0,4.0,5,Lekki,Lagos,0,0.0,0,Semi Detached Duplex,15000000.0
197,4.0,1,4.0,5,Lekki,Lagos,0,15.0,0,Detached Bungalow,12000000.0
198,1.0,0,1.0,2,Ikoyi,Lagos,1,0.0,0,mini flat Blocks Of Flats,12000000.0
