,bedroom,parking_lot,bathroom,toilets,town,state,serviced,extras,Stable Electricity,title,price
1534,2.0,0,2.0,3,Ogba,Lagos,0,0.0,0,Self Contain Flat Apartment,2500000.0
1535,2.0,0,2.0,3,Lekki,Lagos,0,0.0,0,Flat Apartment,5500000.0
1536,2.0,0,2.0,3,Victoria Island,Lagos,0,0.0,0,Flat Apartment,25000000.0
1538,2.0,0,1.0,1,Ojodu,Lagos,0,0.0,0,Flat Apartment,1500000.0
1539,2.0,0,2.0,3,Lekki,Lagos,0,0.0,0,Flat Apartment,8000000.0
1540,2.0,0,2.0,3,Lekki,Lagos,0,0.0,0,Flat Apartment,7000000.0
1541,2.0,0,2.0,3,Ajah,Lagos,0,0.0,0,Flat Apartment,2500000.0
1542,2.0,0,1.0,2,Lekki,Lagos,0,0.0,0,Flat Apartment,3000000.0
1543,3.0,0,3.0,4,Victoria Island,Lagos,0,15.0,0,Flat Apartment,15000000.0
1544,2.0,0,2.0,3,Alimosho,Lagos,0,0.0,0,Flat Apartment,2100000.0
1545,3.0,0,3.0,4,Ikoyi,Lagos,0,0.0,0,Flat Apartment,40000000.0
1546,5.0,0,5.0,6,Lekki,Lagos,0,0.0,0,Detached Duplex,8000000.0
1547,2.0,0,1.0,2,Lekki,Lagos,0,0.0,0,Flat Apartment,5000000.0
1548,5.0,0,5.0,6,Ikoyi,Lagos,0,0.0,0,Massionette,80000000.0
1549,5.0,0,5.0,6,Lekki,Lagos,0,0.0,0,Detached Duplex,60000000.0
1550,3.0,0,3.0,4,Lekki,Lagos,0,11.0,0,Flat Apartment,10000000.0
1551,2.0,0,2.0,3,Ajah,Lagos,0,0.0,0,Detached Bungalow,3000000.0
1553,2.0,0,1.0,1,Ipaja,Lagos,0,0.0,0,Flat Apartment,800000.0
1554,3.0,0,3.0,4,Lekki,Lagos,0,0.0,0,Terraced Duplex,4500000.0
1555,2.0,0,2.0,3,Ipaja,Lagos,0,0.0,0,Flat Apartment,1500000.0
1556,2.0,0,1.0,1,Ojodu,Lagos,0,0.0,0,Flat Apartment,1500000.0
1557,3.0,0,3.0,4,Ikeja,Lagos,0,0.0,0,Flat Apartment,6000000.0
1558,2.0,0,2.0,3,Victoria Island,Lagos,0,0.0,0,Flat Apartment,25000000.0
1560,2.0,0,2.0,3,Ajah,Lagos,0,0.0,0,Detached Bungalow,3000000.0
1561,5.0,0,5.0,6,Lekki,Lagos,0,0.0,0,Detached Duplex,60000000.0
1562,3.0,0,3.0,4,Lekki,Lagos,0,11.0,0,Flat Apartment,10000000.0
1563,2.0,0,1.0,2,Lekki,Lagos,0,0.0,0,Flat Apartment,5000000.0
1564,5.0,0,5.0,6,Ikoyi,Lagos,0,0.0,0,Massionette,80000000.0
1566,2.0,0,1.0,1,Ipaja,Lagos,0,0.0,0,Flat Apartment,800000.0
1567,3.0,0,3.0,4,Lekki,Lagos,0,0.0,0,Terraced Duplex,4500000.0
1568,2.0,0,2.0,3,Ipaja,Lagos,0,0.0,0,Flat Apartment,1500000.0
1569,2.0,0,1.0,2,Isolo,Lagos,0,0.0,0,Flat Apartment,1500000.0
1570,2.0,0,1.0,2,Ipaja,Lagos,0,0.0,0,Flat Apartment,800000.0
1572,5.0,0,5.0,6,Ikoyi,Lagos,0,11.0,0,Detached Duplex,250000000.0
1573,2.0,0,2.0,3,Ojodu,Lagos,0,0.0,0,Flat Apartment,2500000.0
1574,2.0,0,2.0,3,Ajah,Lagos,0,0.0,0,Flat Apartment,3000000.0
1575,2.0,0,2.0,3,Ajah,Lagos,0,0.0,0,Flat Apartment,2000000.0
1576,2.0,0,1.0,2,Ajah,Lagos,0,0.0,0,Flat Apartment,1200000.0
1577,4.0,0,4.0,5,Lekki,Lagos,0,0.0,0,Terraced Duplex,14000000.0
1578,2.0,0,2.0,3,Lekki,Lagos,0,0.0,0,Flat Apartment,12000000.0
1579,4.0,0,4.0,5,Ajah,Lagos,0,11.0,0,Semi Detached Duplex,3000000.0
1580,3.0,0,3.0,4,Lekki,Lagos,0,0.0,0,Massionette,12000000.0
1581,3.0,0,3.0,4,Ikoyi,Lagos,0,11.0,0,Massionette,50000000.0
1582,2.0,0,1.0,2,Ajah,Lagos,0,0.0,0,Flat Apartment,1500000.0
1583,3.0,0,3.0,4,Ikeja,Lagos,0,0.0,0,Flat Apartment,4500000.0
1584,2.0,0,1.0,2,Ogba,Lagos,0,0.0,0,Flat Apartment,1200000.0
1585,3.0,0,3.0,4,Victoria Island,Lagos,0,0.0,0,Flat Apartment,30000000.0
1586,3.0,0,3.0,4,Ikoyi,Lagos,0,11.0,0,Flat Apartment,15000000.0
1587,2.0,0,2.0,3,Lekki,Lagos,1,0.0,0,Commercial Property,10000000.0
1588,2.0,0,1.0,2,Ikeja,Lagos,0,0.0,0,Flat Apartment,3000000.0
1589,3.0,0,3.0,4,Ikoyi,Lagos,0,0.0,0,Flat Apartment,35000000.0
1590,3.0,0,3.0,4,Okota,Lagos,0,0.0,0,Flat Apartment,1900000.0
1591,2.0,0,3.0,3,Lekki,Lagos,1,0.0,0,Flat Apartment,3000000.0
1592,3.0,0,3.0,4,Victoria Island,Lagos,0,0.0,0,Flat Apartment,30000000.0
1593,2.0,0,1.0,2,Ogba,Lagos,0,0.0,0,Flat Apartment,1200000.0
1594,2.0,0,1.0,2,Ikeja,Lagos,0,0.0,0,Flat Apartment,3000000.0
1595,3.0,0,3.0,4,Ikoyi,Lagos,0,0.0,0,Flat Apartment,35000000.0
1596,3.0,0,3.0,4,Okota,Lagos,0,0.0,0,Flat Apartment,1900000.0
1597,2.0,0,3.0,3,Lekki,Lagos,1,0.0,0,Flat Apartment,3000000.0
1598,2.0,0,1.0,2,Gbagada,Lagos,0,0.0,0,Flat Apartment,3500000.0
1599,2.0,0,2.0,3,Ikeja,Lagos,0,0.0,0,Flat Apartment,3500000.0
1602,2.0,0,2.0,3,Lekki,Lagos,0,0.0,0,Flat Apartment,6500000.0
1603,2.0,0,1.0,2,Lekki,Lagos,0,0.0,0,Flat Apartment,6500000.0
1604,2.0,0,2.0,3,Ikeja,Lagos,0,15.0,0,Flat Apartment,3500000.0
1605,3.0,0,3.0,4,Victoria Island,Lagos,0,11.0,0,Flat Apartment,15000000.0
1606,2.0,0,3.0,3,Ibeju-Lekki,Lagos,0,0.0,0,Flat Apartment,2500000.0
1607,2.0,0,1.0,2,Oshodi,Lagos,0,0.0,0,Flat Apartment,1200000.0
1608,2.0,0,2.0,3,Ipaja,Lagos,0,0.0,0,Flat Apartment,1000000.0
1609,3.0,0,3.0,4,Victoria Island,Lagos,0,11.0,0,Flat Apartment,15000000.0
1610,2.0,0,2.0,3,Ikeja,Lagos,0,15.0,0,Flat Apartment,3500000.0
1611,2.0,0,2.0,3,Lekki,Lagos,0,0.0,0,Flat Apartment,6500000.0
1612,2.0,0,1.0,2,Lekki,Lagos,0,0.0,0,Flat Apartment,6500000.0
1613,2.0,0,1.0,2,Gbagada,Lagos,0,0.0,0,Flat Apartment,3500000.0
1614,2.0,0,2.0,3,Ikeja,Lagos,0,0.0,0,Flat Apartment,3500000.0
1617,2.0,0,3.0,3,Ibeju-Lekki,Lagos,0,0.0,0,Flat Apartment,2500000.0
1618,2.0,0,1.0,2,Oshodi,Lagos,0,0.0,0,Flat Apartment,1200000.0
1619,4.0,0,4.0,5,Ikoyi,Lagos,0,0.0,0,Terraced Duplex,60000000.0
1620,5.0,0,5.0,6,Kosofe/Ikosi,Lagos,0,0.0,0,Semi Detached Duplex,12000000.0
1621,2.0,0,2.0,3,Okota,Lagos,0,0.0,0,Flat Apartment,1800000.0
1622,2.0,0,1.0,2,Ajah,Lagos,0,0.0,0,Mini flat Apartment,2000000.0
1623,4.0,0,4.0,5,Lekki,Lagos,0,0.0,0,Terraced Duplex,7000000.0
1624,2.0,0,2.0,3,Ipaja,Lagos,0,0.0,0,Flat Apartment,1500000.0
1625,3.0,0,3.0,4,Ajah,Lagos,0,15.0,0,Flat Apartment,3200000.0
1626,3.0,0,3.0,4,Lekki,Lagos,0,0.0,0,Flat Apartment,6000000.0
1627,2.0,0,1.0,2,Ajah,Lagos,0,0.0,0,Flat Apartment,1500000.0
1628,5.0,0,5.0,6,Lekki,Lagos,0,15.0,0,Detached Duplex,8000000.0
1629,2.0,0,1.0,2,Lekki,Lagos,0,0.0,0,Mini flat Apartment,4000000.0
1630,3.0,0,3.0,4,Lekki,Lagos,0,0.0,0,Flat Apartment,12000000.0
1631,2.0,0,1.0,2,Ajah,Lagos,0,0.0,0,Flat Apartment,1700000.0
1632,2.0,0,2.0,3,Ajah,Lagos,0,0.0,0,Flat Apartment,2500000.0
1633,2.0,0,2.0,3,Lekki,Lagos,0,0.0,0,Flat Apartment,5500000.0
1634,3.0,0,3.0,4,Lekki,Lagos,0,0.0,0,Semi Detached Duplex,15000000.0
1635,3.0,0,3.0,4,Ogba,Lagos,0,0.0,0,Flat Apartment,3000000.0
1636,4.0,0,4.0,5,Lekki,Lagos,0,0.0,0,Semi Detached Duplex,7000000.0
1637,2.0,0,2.0,3,Okota,Lagos,0,0.0,0,Flat Apartment,1800000.0
1638,2.0,0,1.0,2,Ajah,Lagos,0,0.0,0,Mini flat Apartment,2000000.0
1639,4.0,0,4.0,5,Ikoyi,Lagos,0,0.0,0,Terraced Duplex,60000000.0
1640,5.0,0,5.0,6,Kosofe/Ikosi,Lagos,0,0.0,0,Semi Detached Duplex,12000000.0
1641,2.0,0,2.0,3,Ajah,Lagos,0,0.0,0,Semi Detached Duplex,2000000.0
1642,2.0,0,1.0,2,Ajah,Lagos,0,0.0,0,Flat Apartment,1500000.0
1643,2.0,0,2.0,2,Ojodu,Lagos,0,0.0,0,Flat Apartment,800000.0
1644,2.0,0,2.0,3,Lekki,Lagos,0,0.0,0,Flat Apartment,4000000.0
1646,5.0,1,4.0,6,Victoria Island,Lagos,0,8.0,0,Church Commercial Property,60000000.0
1647,4.0,1,4.0,5,Lekki,Lagos,0,8.0,1,Terraced Duplex,30000000.0
1648,6.0,1,6.0,7,Lekki,Lagos,0,15.0,1,Detached Duplex,30000000.0
1649,4.0,1,4.0,5,Lekki,Lagos,0,8.0,1,Terraced Duplex,15000000.0
1654,4.0,1,4.0,5,Lekki,Lagos,0,8.0,0,Terraced Duplex,9000000.0
1655,3.0,1,3.0,4,Ikoyi,Lagos,0,8.0,1,Flat Apartment,25000000.0
1657,3.0,1,3.0,4,Ikoyi,Lagos,0,8.0,1,Flat Apartment,50000000.0
1659,5.0,1,5.0,6,Lekki,Lagos,0,8.0,1,Detached Duplex,25000000.0
1660,2.0,1,2.0,3,Lekki,Lagos,0,8.0,0,Flat Apartment,7500000.0
1661,4.0,1,4.0,5,Victoria Island,Lagos,0,8.0,0,Terraced Duplex,20000000.0
1662,3.0,1,3.0,4,Ikoyi,Lagos,0,15.0,1,Flat Apartment,30000000.0
1663,3.0,1,3.0,4,Ikoyi,Lagos,0,8.0,0,Massionette,45000000.0
1664,1.0,1,1.0,1,Lekki,Lagos,0,8.0,1,mini flat Shop Commercial Property,4500000.0
1665,4.0,1,4.0,5,Lekki,Lagos,0,8.0,1,Detached Duplex,30000000.0
1667,5.0,1,5.0,6,Lekki,Lagos,0,8.0,1,Detached Duplex,25000000.0
1668,2.0,1,2.0,3,Lekki,Lagos,0,8.0,0,Flat Apartment,7500000.0
1669,4.0,1,4.0,5,Lekki,Lagos,0,8.0,1,Terraced Duplex,8500000.0
1670,5.0,1,5.0,6,Lekki,Lagos,0,15.0,1,Detached Duplex,25000000.0
1671,5.0,1,5.0,6,Ikoyi,Lagos,0,8.0,1,Detached Duplex,150000000.0
1673,2.0,1,2.0,3,Ikeja,Lagos,0,15.0,1,Flat Apartment,8500000.0
1674,2.0,1,2.0,3,Lekki,Lagos,0,15.0,1,Flat Apartment,7500000.0
1676,4.0,0,4.0,5,Lekki,Lagos,0,17.0,0,Semi Detached Duplex,25000000.0
1677,3.0,1,3.0,4,Lekki,Lagos,0,15.0,1,Flat Apartment,4500000.0
1678,1.0,1,1.0,2,Lekki,Lagos,0,15.0,1,mini flat Flat Apartment,5500000.0
1679,4.0,1,4.0,5,Ikoyi,Lagos,0,8.0,1,Terraced Duplex,50000000.0
1680,3.0,1,3.0,4,Ikoyi,Lagos,0,8.0,1,Flat Apartment,25000000.0
1681,1.0,0,1.0,1,Egbe/Idimu,Lagos,0,0.0,0,mini flat Blocks Of Flats,600000.0
1682,1.0,0,1.0,1,Alimosho,Lagos,0,0.0,0,mini flat Self Contain Flat Apartment,400000.0
1683,1.0,0,1.0,1,Lekki,Lagos,0,0.0,0,mini flat Detached Duplex,3200000.0
1685,2.0,0,3.0,3,Alimosho,Lagos,0,0.0,0,Blocks Of Flats,1400000.0
1686,2.0,0,3.0,3,Egbe/Idimu,Lagos,0,0.0,0,Blocks Of Flats,1500000.0
1687,3.0,0,4.0,4,Alimosho,Lagos,0,0.0,0,Detached Duplex,2500000.0
1688,4.0,0,4.0,5,Ajah,Lagos,1,0.0,0,Semi Detached Duplex,5000000.0
1689,2.0,0,2.0,3,Lekki,Lagos,0,0.0,0,Blocks Of Flats,10000000.0
1690,4.0,0,4.0,5,Lekki,Lagos,0,0.0,0,Terraced Duplex,7500000.0
1691,4.0,0,4.0,5,Lekki,Lagos,1,0.0,0,Terraced Duplex,6000000.0
1692,4.0,0,4.0,5,Lekki,Lagos,0,0.0,0,Detached Duplex,15000000.0
1693,4.0,0,4.0,5,Lekki,Lagos,1,0.0,0,Terraced Duplex,6000000.0
1694,3.0,0,3.0,4,Lekki,Lagos,0,0.0,0,Massionette,9000000.0
1695,4.0,0,4.0,5,Lekki,Lagos,0,0.0,0,Terraced Duplex,8500000.0
1696,4.0,0,4.0,5,Lekki,Lagos,1,0.0,0,Terraced Duplex,7000000.0
1697,4.0,0,4.0,5,Ikoyi,Lagos,0,0.0,0,Semi Detached Duplex,25000000.0
1698,3.0,0,3.0,4,Ikoyi,Lagos,0,0.0,0,Blocks Of Flats,45000000.0
1699,5.0,0,5.0,6,Lekki,Lagos,0,0.0,0,Detached Duplex,9000000.0
1700,2.0,0,2.0,3,Lekki,Lagos,0,0.0,0,Blocks Of Flats,5000000.0
1701,2.0,0,2.0,3,Lekki,Lagos,0,0.0,0,Blocks Of Flats,7000000.0
1702,4.0,0,4.0,5,Lekki,Lagos,0,0.0,0,Semi Detached Duplex,8000000.0
1703,4.0,0,4.0,5,Lekki,Lagos,0,0.0,0,Semi Detached Duplex,15000000.0
1704,5.0,0,5.0,6,Lekki,Lagos,0,0.0,0,Detached Duplex,9000000.0
1705,2.0,0,2.0,3,Lekki,Lagos,0,0.0,0,Blocks Of Flats,5000000.0
1706,4.0,0,4.0,5,Lekki,Lagos,0,0.0,0,Terraced Duplex,10000000.0
1707,4.0,0,4.0,5,Lekki,Lagos,0,0.0,0,Terraced Duplex,8000000.0
1708,2.0,0,2.0,3,Ikoyi,Lagos,0,0.0,0,Blocks Of Flats,20000000.0
1709,10.0,0,10.0,10,Lekki,Lagos,0,0.0,0,Hotel Guest  Commercial Property,80000000.0
1710,4.0,0,4.0,5,Lekki,Lagos,1,0.0,0,Terraced Duplex,13000000.0
1711,4.0,0,4.0,5,Lekki,Lagos,0,0.0,0,Terraced Duplex,8500000.0
1712,3.0,0,3.0,4,Ikoyi,Lagos,1,0.0,0,Blocks Of Flats,15000000.0
1714,2.0,0,2.0,3,Lekki,Lagos,0,0.0,0,Blocks Of Flats,7000000.0
1715,4.0,0,4.0,5,Lekki,Lagos,0,0.0,0,Terraced Duplex,8500000.0
1716,5.0,0,5.0,6,Lekki,Lagos,0,0.0,0,Detached Duplex,18000000.0
1717,5.0,0,5.0,6,Lekki,Lagos,0,0.0,0,Detached Duplex,12000000.0
1718,4.0,0,4.0,5,Lekki,Lagos,1,0.0,0,Semi Detached Duplex,25000000.0
1719,4.0,0,4.0,5,Victoria Island,Lagos,0,0.0,0,Blocks Of Flats,40000000.0
1720,4.0,0,4.0,5,Lekki,Lagos,0,0.0,0,Detached Duplex,20000000.0
1721,3.0,0,3.0,4,Lekki,Lagos,0,0.0,0,Blocks Of Flats,4000000.0
1722,4.0,0,4.0,5,Lekki,Lagos,0,0.0,0,Semi Detached Duplex,9000000.0
1723,4.0,0,4.0,5,Lekki,Lagos,0,0.0,0,Terraced Duplex,11000000.0
1724,4.0,0,4.0,5,Ajah,Lagos,1,0.0,0,Semi Detached Duplex,6500000.0
1725,4.0,0,4.0,5,Ajah,Lagos,0,0.0,0,Semi Detached Duplex,5000000.0
1726,4.0,0,4.0,5,Lekki,Lagos,0,0.0,0,Detached Duplex,10000000.0
1727,4.0,0,4.0,5,Lekki,Lagos,0,0.0,0,Terraced Duplex,15000000.0
1728,2.0,0,2.0,3,Victoria Island,Lagos,0,0.0,0,Blocks Of Flats,12000000.0
1729,5.0,0,5.0,6,Lekki,Lagos,0,0.0,0,Detached Duplex,20000000.0
1730,4.0,0,4.0,5,Lekki,Lagos,1,0.0,0,Semi Detached Duplex,25000000.0
1731,4.0,0,4.0,5,Victoria Island,Lagos,0,0.0,0,Blocks Of Flats,40000000.0
1732,4.0,0,4.0,5,Lekki,Lagos,0,0.0,0,Detached Duplex,20000000.0
1733,3.0,0,3.0,4,Ikorodu,Lagos,0,0.0,0,Flat Apartment,2000000.0
1734,3.0,0,3.0,4,Ajah,Lagos,0,0.0,0,Flat Apartment,2500000.0
1735,4.0,1,4.0,5,Lekki,Lagos,0,8.0,1,Massionette,12000000.0
1736,2.0,1,2.0,3,Ikoyi,Lagos,0,8.0,1,Flat Apartment,12000000.0
1737,1.0,0,1.0,2,Ikorodu,Lagos,0,0.0,0,mini flat Flat Apartment,800000.0
1738,1.0,0,1.0,1,Ogudu,Lagos,0,0.0,0,Mini flat Apartment,750000.0
1739,2.0,0,2.0,3,Lekki,Lagos,0,12.0,0,Flat Apartment,6000000.0
1740,3.0,0,3.0,4,Maryland,Lagos,0,11.0,0,Flat Apartment,6000000.0
1741,2.0,1,2.0,3,Ikoyi,Lagos,0,8.0,1,Flat Apartment,12000000.0
1742,1.0,0,1.0,2,Ikorodu,Lagos,0,0.0,0,mini flat Flat Apartment,800000.0
1743,1.0,0,1.0,1,Ogudu,Lagos,0,0.0,0,Mini flat Apartment,750000.0
1744,3.0,0,3.0,4,Lekki,Lagos,0,15.0,1,Flat Apartment,4500000.0
1745,1.0,0,1.0,2,Lekki,Lagos,0,15.0,1,Mini flat Apartment,8500000.0
1746,3.0,0,3.0,4,Lekki,Lagos,0,11.0,0,Terraced Duplex,12000000.0
1747,2.0,1,2.0,3,Lekki,Lagos,1,8.0,0,Flat Apartment,9000000.0
1748,4.0,1,4.0,5,Lekki,Lagos,1,8.0,1,Terraced Duplex,30000000.0
1749,1.0,0,1.0,2,Lekki,Lagos,0,0.0,0,Mini flat Apartment,4500000.0
1751,1.0,0,1.0,1,Lekki,Lagos,1,0.0,0,Mini flat Apartment,3500000.0
1752,4.0,1,4.0,5,Lekki,Lagos,1,8.0,1,Terraced Duplex,20000000.0
1753,2.0,0,2.0,3,Lekki,Lagos,0,0.0,0,Flat Apartment,6500000.0
1754,3.0,0,3.0,4,Lekki,Lagos,0,15.0,1,Flat Apartment,11000000.0
1755,4.0,0,4.0,5,Lekki,Lagos,0,15.0,1,Massionette,15000000.0
1756,2.0,0,2.0,3,Lekki,Lagos,0,0.0,0,Flat Apartment,5500000.0
1757,1.0,0,1.0,1,Shomolu,Lagos,0,0.0,0,Mini flat Apartment,1800000.0
1758,2.0,0,2.0,3,Ikorodu,Lagos,0,0.0,0,Flat Apartment,1500000.0
1759,4.0,0,4.0,5,Lekki,Lagos,0,0.0,0,Terraced Duplex,8500000.0
1762,3.0,0,4.0,4,Dakwo,Abuja,0,0.0,0,Semi Detached Bungalow,5000000.0
1763,4.0,0,4.0,5,Kosofe/Ikosi,Lagos,0,11.0,1,Terraced Duplex,10000000.0
1765,1.0,0,1.0,2,Gbagada,Lagos,0,11.0,0,Mini flat Apartment,3500000.0
1767,3.0,0,3.0,4,Kosofe/Ikosi,Lagos,0,11.0,1,Blocks Of Flats,3500000.0
1768,4.0,0,4.0,5,Kosofe/Ikosi,Lagos,0,17.0,0,Semi Detached Duplex,6000000.0
1769,3.0,0,3.0,4,Gbagada,Lagos,0,11.0,1,Blocks Of Flats,5000000.0
1770,4.0,1,4.0,5,Ogudu,Lagos,0,8.0,1,Semi Detached Duplex,25000000.0
1772,4.0,1,4.0,5,Ojodu,Lagos,0,12.0,0,Detached Duplex,14000000.0
1773,4.0,0,4.0,5,Ojodu,Lagos,0,11.0,1,Detached Duplex,10000000.0
1774,2.0,0,3.0,3,Alimosho,Lagos,0,0.0,0,Flat Apartment,2500000.0
1775,4.0,0,5.0,5,Alimosho,Lagos,0,0.0,0,Detached Duplex,5000000.0
1776,2.0,0,3.0,3,Alimosho,Lagos,0,0.0,0,Flat Apartment,2500000.0
1777,4.0,0,5.0,5,Alimosho,Lagos,0,0.0,0,Detached Duplex,5000000.0
1778,1.0,0,1.0,1,Alimosho,Lagos,0,0.0,0,mini flat Blocks Of Flats,2000000.0
1779,3.0,0,3.0,3,Alimosho,Lagos,0,0.0,0,Detached Bungalow,3000000.0
1780,2.0,0,3.0,3,Ipaja,Lagos,0,0.0,0,Blocks Of Flats,1600000.0
1781,2.0,0,3.0,3,Alimosho,Lagos,0,0.0,0,Flat Apartment,1500000.0
1782,2.0,0,3.0,3,Alimosho,Lagos,0,0.0,0,Flat Apartment,2000000.0
1783,1.0,0,2.0,2,Ipaja,Lagos,0,0.0,0,Mini flat Apartment,1200000.0
1784,2.0,0,3.0,3,Alimosho,Lagos,0,0.0,0,Blocks Of Flats,1800000.0
1785,2.0,0,3.0,3,Ipaja,Lagos,0,0.0,0,Blocks Of Flats,2200000.0
1786,2.0,0,2.0,3,Lekki,Lagos,1,0.0,0,Detached Duplex,8500000.0
1787,5.0,1,5.0,6,Victoria Island,Lagos,0,8.0,1,Terraced Duplex,25000000.0
1789,4.0,1,4.0,5,Ikoyi,Lagos,0,8.0,1,Shared Apartment Flat Apartment,60000000.0
1790,4.0,0,5.0,5,Lekki,Lagos,0,20.0,1,Semi Detached Duplex,20000000.0
1793,2.0,1,2.0,3,Lekki,Lagos,0,8.0,1,Shared Apartment Flat Apartment,22000000.0
1795,1.0,1,1.0,2,Lekki,Lagos,0,8.0,1,mini flat Shared Apartment Flat Apartment,4500000.0
1796,3.0,1,3.0,4,Lekki,Lagos,0,8.0,1,Shared Apartment Flat Apartment,5000000.0
1798,3.0,1,3.0,4,Lekki,Lagos,0,8.0,1,Shared Apartment Flat Apartment,15000000.0
1799,4.0,1,4.0,5,Lekki,Lagos,1,8.0,1,Terraced Duplex,23000000.0
1800,5.0,1,5.0,6,Lekki,Lagos,0,8.0,1,Detached Duplex,25000000.0
1801,4.0,1,4.0,5,Ikoyi,Lagos,0,8.0,1,Terraced Duplex,30000000.0
1805,4.0,1,4.0,5,Lekki,Lagos,0,8.0,1,Terraced Duplex,8000000.0
1809,3.0,1,3.0,4,Ikoyi,Lagos,0,8.0,1,Shared Apartment Flat Apartment,30000000.0
1810,3.0,1,3.0,4,Lekki,Lagos,0,8.0,1,Shared Apartment Flat Apartment,10000000.0
1811,4.0,1,4.0,5,Lekki,Lagos,1,8.0,1,Terraced Duplex,15000000.0
1812,6.0,1,6.0,7,Victoria Island,Lagos,0,8.0,1,Commercial Property,70000000.0
1814,2.0,1,2.0,3,Lekki,Lagos,0,8.0,1,Shared Apartment Flat Apartment,4000000.0
1815,4.0,1,4.0,5,Lekki,Lagos,1,8.0,1,Terraced Duplex,15000000.0
1823,3.0,1,3.0,4,Ikoyi,Lagos,0,8.0,1,Shared Apartment Flat Apartment,40000000.0
1825,4.0,1,4.0,5,Victoria Island,Lagos,0,8.0,1,Shared Apartment Flat Apartment,16000000.0
1828,5.0,1,5.0,6,Lekki,Lagos,0,8.0,1,Commercial Property,25000000.0
1829,4.0,1,4.0,5,Lekki,Lagos,0,8.0,1,Shared Apartment Flat Apartment,25000000.0
1830,3.0,1,3.0,4,Lekki,Lagos,0,8.0,1,Shared Apartment Flat Apartment,15000000.0
1831,4.0,1,4.0,5,Ikoyi,Lagos,0,8.0,1,Terraced Duplex,25000000.0
1832,6.0,1,6.0,7,Victoria Island,Lagos,0,8.0,1,Commercial Property,110000000.0
1837,4.0,1,4.0,4,Ikoyi,Lagos,0,8.0,1,Shared Apartment Flat Apartment,45000000.0
1839,5.0,1,5.0,6,Lekki,Lagos,0,8.0,1,Detached Duplex,25000000.0
1841,4.0,0,4.0,5,Lekki,Lagos,0,0.0,0,Terraced Duplex,25000000.0
1842,3.0,1,3.0,4,Lekki,Lagos,0,8.0,1,Shared Apartment Flat Apartment,9000000.0
1845,1.0,0,1.0,1,Lekki,Lagos,0,0.0,0,mini flat Self Contain Flat Apartment,1500000.0
1846,1.0,0,1.0,1,Lekki,Lagos,0,0.0,0,mini flat Shared Apartment Flat Apartment,1000000.0
1847,1.0,0,1.0,1,Lekki,Lagos,0,0.0,0,Mini flat Apartment,1500000.0
1848,1.0,0,1.0,1,Surulere,Lagos,0,12.0,1,mini flat Self Contain Flat Apartment,1800000.0
1849,4.0,1,4.0,5,Ikeja,Lagos,0,15.0,1,Detached Duplex,11000000.0
1850,1.0,0,1.0,1,Surulere,Lagos,0,0.0,0,Mini flat Apartment,1200000.0
1853,5.0,0,5.0,6,Lekki,Lagos,0,0.0,0,Detached Duplex,9000000.0
1854,2.0,0,2.0,3,Lekki,Lagos,0,0.0,0,Flat Apartment,13000000.0
1855,4.0,0,4.0,5,Lekki,Lagos,0,0.0,0,Detached Duplex,10000000.0
1856,3.0,0,3.0,4,Ajah,Lagos,0,0.0,0,Flat Apartment,3500000.0
1857,5.0,0,5.0,6,Lekki,Lagos,0,0.0,0,Detached Duplex,16500000.0
1858,4.0,0,4.0,5,Lekki,Lagos,0,0.0,0,Detached Duplex,8000000.0
1859,5.0,0,5.0,6,Lekki,Lagos,0,0.0,0,Detached Duplex,9000000.0
1860,5.0,0,5.0,6,Lekki,Lagos,0,0.0,0,Detached Duplex,9000000.0
1861,3.0,0,3.0,4,Lekki,Lagos,0,0.0,0,Flat Apartment,3500000.0
1863,3.0,0,3.0,4,Lekki,Lagos,0,0.0,0,Flat Apartment,5500000.0
1864,5.0,0,5.0,6,Lekki,Lagos,0,0.0,0,Detached Duplex,15000000.0
1865,4.0,0,4.0,5,Lekki,Lagos,0,0.0,0,Semi Detached Duplex,8000000.0
1867,3.0,0,3.0,4,Lekki,Lagos,0,0.0,0,Massionette,12000000.0
1868,3.0,0,3.0,4,Lekki,Lagos,0,0.0,0,Terraced Duplex,6750000.0
1869,4.0,0,4.0,5,Lekki,Lagos,0,0.0,0,Semi Detached Duplex,8500000.0
1870,2.0,0,2.0,3,Lekki,Lagos,0,0.0,0,Terraced Duplex,5000000.0
1871,2.0,0,2.0,3,Ajah,Lagos,0,0.0,0,Flat Apartment,2500000.0
1872,3.0,0,3.0,4,Ajah,Lagos,0,0.0,0,Terraced Duplex,4500000.0
1873,4.0,0,4.0,5,Lekki,Lagos,0,0.0,0,Terraced Duplex,8000000.0
1874,3.0,1,3.0,4,Lekki,Lagos,0,8.0,1,Shared Apartment Flat Apartment,10000000.0
1875,6.0,1,6.0,7,Victoria Island,Lagos,0,8.0,1,Commercial Property,70000000.0
1876,2.0,1,2.0,3,Lekki,Lagos,0,8.0,1,Shared Apartment Flat Apartment,4000000.0
1879,4.0,1,4.0,5,Lekki,Lagos,1,8.0,1,Terraced Duplex,15000000.0
1882,4.0,0,5.0,5,Lekki,Lagos,0,12.0,1,Terraced Duplex,22000000.0
1883,4.0,1,4.0,5,Lekki,Lagos,0,8.0,1,Terraced Duplex,20000000.0
