bedroom,parking_lot,bathroom,toilets,town,state,serviced,extras,Stable Electricity,title,price
4,No,4,5,Lekki,Lagos,No,,No,Semi Detached Duplex," ₦7,000,000/year"
4,No,4,5,Lekki,Lagos,No,11,No,Semi Detached Duplex," ₦8,000,000/year"
,No,,,Victoria Island,Lagos,No,,No,, $400/sqm
4,Yes,4,5,Lekki,Lagos,No,8,No,Terraced Duplex," ₦9,000,000/year"
4,Yes,4,5,Lekki,Lagos,No,8,No,Semi Detached Duplex," ₦12,000,000/year"
4,No,4,5,Ikoyi,Lagos,Yes,11,No,Terraced Duplex," ₦35,000,000"
4,Yes,4,5,Ikoyi,Lagos,No,8,No,Semi Detached Duplex," ₦45,000,000/year"
5,Yes,5,6,Lekki,Lagos,No,15,No,Detached Duplex," ₦25,000,000/year"
2,Yes,2,3,Lekki,Lagos,Yes,8,Yes,Blocks Of Flats," ₦120,000,000"
3,No,3,4,Ikoyi,Lagos,No,,No,Blocks Of Flats," ₦40,000,000/year"
5,No,5,6,Lekki,Lagos,No,11,No,Semi Detached Duplex," ₦25,000,000/year"
3,Yes,3,4,Ikoyi,Lagos,No,8,Yes,Blocks Of Flats," $25,000/year"
,No,,,Lekki,Lagos,No,,No,," ₦130,000/sqm"
5,No,5,6,Lekki,Lagos,No,11,No,Detached Duplex," ₦12,000,000/year"
4,No,4,5,Lekki,Lagos,No,11,No,Massionette," ₦25,000,000"
4,No,4,5,Lekki,Lagos,No,,No,Terraced Duplex," ₦11,000,000/year"
4,No,4,5,Ajah,Lagos,No,11,No,Semi Detached Duplex," ₦7,000,000/year"
4,No,4,5,Lekki,Lagos,No,,No,Terraced Duplex," ₦11,000,000/year"
4,No,4,5,Ajah,Lagos,No,11,No,Semi Detached Duplex," ₦7,000,000/year"
2,Yes,2,3,Lekki,Lagos,Yes,8,Yes,Blocks Of Flats," ₦5,000,000"
3,Yes,3,4,Ikoyi,Lagos,No,8,Yes,Blocks Of Flats," ₦50,000,000/year"
4,No,4,5,Lekki,Lagos,No,15,No,Semi Detached Duplex," ₦20,000,000/year"
4,No,4,5,Lekki,Lagos,No,,No,Detached Duplex," ₦10,000,000/year"
