,town,state_Abuja,state_Delta,state_Enugu,state_Kaduna,state_Lagos,state_Ogun,state_Oyo,state_Rivers,title,bedroom,parking_lot,bathroom,toilets,serviced,extras,Stable Electricity,bath_bedroom_combo
6434,47,0,0,0,0,1,0,0,0,591,5,1,5,6,0,8,1,25
6435,48,1,0,0,0,0,0,0,0,1714,2,1,2,3,0,8,0,4
6436,74,0,0,0,0,1,0,0,0,1714,3,0,3,4,0,0,0,9
6437,29,0,0,0,0,1,0,0,0,602,4,1,4,5,0,8,0,16
6438,10,0,0,0,0,1,0,0,0,715,2,0,2,2,0,0,0,4
6439,47,0,0,0,0,1,0,0,0,591,4,0,5,5,0,0,0,20
6440,47,0,0,0,0,1,0,0,0,715,3,0,3,4,0,0,0,9
6441,26,0,0,0,0,1,0,0,0,602,4,0,5,5,0,0,0,20
6442,72,0,0,0,0,1,0,0,0,508,1,1,1,1,0,15,1,1
6443,47,0,0,0,0,1,0,0,0,1714,3,1,3,4,1,8,1,9
6444,32,0,0,0,0,1,0,0,0,715,3,0,3,4,0,0,0,9
6445,47,0,0,0,0,1,0,0,0,845,4,1,4,5,1,8,1,16
6446,47,0,0,0,0,1,0,0,0,508,1,0,1,1,1,15,0,1
6447,47,0,0,0,0,1,0,0,0,602,4,0,4,5,0,0,0,16
6448,47,0,0,0,0,1,0,0,0,508,1,0,1,2,0,0,0,1
6449,74,0,0,0,0,1,0,0,0,123,2,0,2,3,1,0,0,4
6450,72,0,0,0,0,1,0,0,0,1714,2,0,2,3,0,0,0,4
6451,3,0,0,0,0,1,0,0,0,715,2,0,3,3,0,0,0,6
6452,61,0,0,0,0,1,0,0,0,715,3,0,3,3,0,0,0,9
6453,22,0,0,0,0,1,0,0,0,715,3,0,3,4,0,15,1,9
6454,63,0,0,0,0,1,0,0,0,715,2,0,2,2,0,0,0,4
6455,74,0,0,0,0,1,0,0,0,845,4,0,3,4,0,0,0,12
6456,47,0,0,0,0,1,0,0,0,10,5,0,5,6,0,0,0,25
6457,3,0,0,0,0,1,0,0,0,508,2,0,1,2,0,0,0,2
6458,47,0,0,0,0,1,0,0,0,591,4,0,4,5,0,0,0,16
6459,52,1,0,0,0,0,0,0,0,1714,3,0,3,4,0,0,0,9
6460,47,0,0,0,0,1,0,0,0,845,4,0,5,5,0,0,0,20
6461,74,0,0,0,0,1,0,0,0,602,4,0,5,5,0,0,0,20
6462,47,0,0,0,0,1,0,0,0,591,4,0,4,5,0,0,0,16
6463,50,1,0,0,0,0,0,0,0,715,2,0,3,3,0,0,0,6
6464,47,0,0,0,0,1,0,0,0,591,4,0,5,5,0,0,0,20
6465,47,0,0,0,0,1,0,0,0,86,1,0,1,1,0,0,0,1
6466,47,0,0,0,0,1,0,0,0,1714,2,0,2,3,0,15,1,4
6467,3,0,0,0,0,1,0,0,0,1714,2,0,2,3,0,0,0,4
6468,2,0,0,0,0,1,0,0,0,715,3,0,3,3,0,0,0,9
6469,68,0,0,0,0,1,0,0,0,508,1,1,1,2,0,8,1,1
6470,47,0,0,0,0,1,0,0,0,88,1,1,1,1,0,8,1,1
6471,3,0,0,0,0,1,0,0,0,845,4,0,5,5,0,0,0,20
6472,47,0,0,0,0,1,0,0,0,123,2,0,2,3,0,15,1,4
6473,74,0,0,0,0,1,0,0,0,591,4,1,4,5,0,8,1,16
6474,9,1,0,0,0,0,0,0,0,508,1,0,2,2,0,0,0,2
6475,34,0,0,0,0,1,0,0,0,1714,2,0,2,3,0,0,0,4
6476,14,1,0,0,0,0,0,0,0,602,4,0,4,4,0,15,0,16
6477,59,0,0,0,0,1,0,0,0,1714,2,0,2,2,0,0,0,4
6478,47,0,0,0,0,1,0,0,0,602,5,0,5,6,0,0,0,25
6479,47,0,0,0,0,1,0,0,0,1714,2,0,2,3,0,0,0,4
6480,47,0,0,0,0,1,0,0,0,845,4,0,4,5,1,0,0,16
6481,34,0,0,0,0,1,0,0,0,1714,2,0,2,3,0,0,0,4
6482,-1,1,0,0,0,0,0,0,0,715,2,0,3,3,0,0,0,6
6483,47,0,0,0,0,1,0,0,0,508,1,0,1,2,0,0,0,1
6484,47,0,0,0,0,1,0,0,0,86,1,0,1,1,0,0,0,1
6485,47,0,0,0,0,1,0,0,0,508,1,0,2,2,0,0,0,2
6486,3,0,0,0,0,1,0,0,0,715,3,0,3,4,0,0,0,9
6487,47,0,0,0,0,1,0,0,0,1714,2,0,1,2,0,0,0,2
6488,29,0,0,0,0,1,0,0,0,845,4,1,4,5,0,8,1,16
6489,47,0,0,0,0,1,0,0,0,86,1,0,1,1,0,0,0,1
6490,47,0,0,0,0,1,0,0,0,845,4,1,4,5,1,8,1,16
6491,47,0,0,0,0,1,0,0,0,86,1,0,1,1,0,0,0,1
6492,42,1,0,0,0,0,0,0,0,591,5,1,5,6,0,8,0,25
6493,3,0,0,0,0,1,0,0,0,508,1,0,2,2,0,15,1,2
6494,47,0,0,0,0,1,0,0,0,602,6,0,6,7,0,0,0,36
6495,47,0,0,0,0,1,0,0,0,715,2,0,2,3,1,0,0,4
6496,32,0,0,0,0,1,0,0,0,602,4,1,4,5,0,8,0,16
6497,50,1,0,0,0,0,0,0,0,591,4,0,5,5,0,15,1,20
6498,47,0,0,0,0,1,0,0,0,602,4,0,4,4,0,0,0,16
6499,47,0,0,0,0,1,0,0,0,1714,2,0,2,3,0,0,0,4
6500,47,0,0,0,0,1,0,0,0,602,4,0,4,5,0,11,0,16
6501,79,0,0,0,0,1,0,0,0,508,1,0,1,2,0,0,0,1
6502,3,0,0,0,0,1,0,0,0,1714,2,0,1,2,0,0,0,2
6503,47,0,0,0,0,1,0,0,0,508,1,0,2,2,0,0,0,2
6504,25,0,0,0,0,0,0,1,0,508,1,0,1,1,0,0,0,1
6505,47,0,0,0,0,1,0,0,0,845,2,0,2,3,0,0,0,4
6506,47,0,0,0,0,1,0,0,0,591,5,0,5,6,0,15,0,25
6507,47,0,0,0,0,1,0,0,0,602,5,0,5,6,0,0,0,25
6508,3,0,0,0,0,1,0,0,0,508,2,0,1,2,0,0,0,2
6509,47,0,0,0,0,1,0,0,0,1714,3,1,3,4,0,8,1,9
6510,47,0,0,0,0,1,0,0,0,845,4,0,4,5,0,0,0,16
6511,63,0,0,0,0,1,0,0,0,178,1,1,1,1,0,8,1,1
6512,3,0,0,0,0,1,0,0,0,1714,3,1,3,4,0,11,0,9
6513,47,0,0,0,0,1,0,0,0,715,2,0,2,3,0,17,1,4
6514,47,0,0,0,0,1,0,0,0,1714,2,0,2,3,0,0,0,4
6515,14,1,0,0,0,0,0,0,0,3,1,0,1,1,0,11,0,1
6516,77,1,0,0,0,0,0,0,0,845,3,1,4,4,0,8,1,12
6517,32,0,0,0,0,1,0,0,0,1714,4,1,4,5,0,8,1,16
6518,59,0,0,0,0,1,0,0,0,59,2,0,1,2,0,0,0,2
6519,3,0,0,0,0,1,0,0,0,845,4,0,4,5,0,0,0,16
6520,47,0,0,0,0,1,0,0,0,123,4,0,4,5,1,0,0,16
6521,47,0,0,0,0,1,0,0,0,591,5,0,5,6,0,0,0,25
6522,22,0,0,0,0,1,0,0,0,1714,2,0,3,3,0,0,0,6
6523,3,0,0,0,0,1,0,0,0,602,3,0,4,4,0,0,0,12
6524,42,1,0,0,0,0,0,0,0,1714,3,0,3,4,0,0,0,9
6525,47,0,0,0,0,1,0,0,0,0,1,0,1,2,0,0,0,1
6526,52,1,0,0,0,0,0,0,0,602,4,0,4,5,0,0,0,16
